0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:26 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:30 +0700] "GET /CrmWeb/project/delete?id=5 HTTP/1.1" 200 6937
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:30 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/js/bootstrap.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/js/chart.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/js/custom-chart.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/js/jquery.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:34 +0700] "GET /CrmWeb/static/js/jquery.slim.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/static/js/popper.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:35 +0700] "GET /CrmWeb/login HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:50 +0700] "POST /CrmWeb/login HTTP/1.1" 302 -
